object,cell_type,decision
u_and_cross10/y_INST_0,LUT2,skipped_not_single_share
b_sh1_r_reg,FDRE,kept_share1
q_sh1_OBUF_inst,OBUF,skipped_non_core_logic
b_sh0_IBUF_inst,IBUF,skipped_non_core_logic
q_sh0,<PORT>,skipped_non_core_logic
clk_IBUF_inst,IBUF,skipped_not_single_share
q_sh1,<PORT>,skipped_non_core_logic
clk_IBUF_BUFG_inst,BUFG,skipped_not_single_share
b_sh1,<PORT>,skipped_non_core_logic
b_sh0,<PORT>,skipped_non_core_logic
rst,<PORT>,skipped_not_single_share
r_IBUF_inst,IBUF,skipped_not_single_share
u_and_sh1/y_INST_0,LUT2,kept_share1
a_sh1,<PORT>,skipped_non_core_logic
a_sh0,<PORT>,skipped_non_core_logic
q_sh0_OBUF_inst,OBUF,skipped_non_core_logic
t0_sh1_reg,FDRE,kept_share1
clk,<PORT>,skipped_not_single_share
a_sh0_IBUF_inst,IBUF,skipped_non_core_logic
rst_IBUF_inst,IBUF,skipped_not_single_share
b_sh1_IBUF_inst,IBUF,skipped_non_core_logic
q_sh0_reg_reg,FDRE,kept_share0
b_sh0_r_reg,FDRE,kept_share0
a_sh1_r_reg,FDRE,kept_share1
r_r_reg,FDRE,skipped_not_single_share
t0_sh0_reg,FDRE,kept_share0
q_sh1_reg_reg,FDRE,kept_share1
u_and_sh0/y_INST_0,LUT2,kept_share0
r,<PORT>,skipped_not_single_share
t0_sh0_i_1,LUT2,kept_share0
t0_sh1_i_1,LUT4,kept_share1
<LOCKED>,<LOCKED>,skipped_not_single_share
a_sh1_IBUF_inst,IBUF,skipped_non_core_logic
u_and_cross01/y_INST_0,LUT2,skipped_not_single_share
a_sh0_r_reg,FDRE,kept_share0
