object,cell_type,decision
q_sh0_OBUF_inst,OBUF,skipped_non_core_logic
q_sh1_OBUF_inst,OBUF,skipped_non_core_logic
b_sh0_IBUF_inst,IBUF,skipped_non_core_logic
q_sh1_i_1,LUT2,kept_share1
clk,<PORT>,skipped_not_single_share
a_sh0_IBUF_inst,IBUF,skipped_non_core_logic
b_sh1_IBUF_inst,IBUF,skipped_non_core_logic
q_sh0,<PORT>,skipped_non_core_logic
clk_IBUF_inst,IBUF,skipped_not_single_share
q_sh1,<PORT>,skipped_non_core_logic
q_sh1_reg,FDRE,kept_share1
clk_IBUF_BUFG_inst,BUFG,skipped_not_single_share
b_sh1,<PORT>,skipped_non_core_logic
b_sh0,<PORT>,skipped_non_core_logic
q_sh0_i_1,LUT2,kept_share0
q_sh0_reg,FDRE,kept_share0
<LOCKED>,<LOCKED>,skipped_not_single_share
a_sh1_IBUF_inst,IBUF,skipped_non_core_logic
a_sh1,<PORT>,skipped_non_core_logic
a_sh0,<PORT>,skipped_non_core_logic
