population,cycle,hamming_weight,a_sh0_r,a_sh1_r,b_sh0_r,b_sh1_r,term_sh0,term_cross01,term_cross10,term_sh1,t0_sh0,t0_sh1
0,0,8,1,1,1,1,1,1,1,1,0,0
0,1,4,1,1,0,0,0,0,0,0,1,1
0,2,6,1,1,0,0,0,0,0,0,1,1
0,3,4,0,0,1,1,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0
0,5,4,0,0,1,1,0,0,0,0,1,1
0,6,12,1,1,1,1,1,1,1,1,1,1
0,7,6,0,0,1,1,0,0,0,0,1,1
0,8,4,1,1,0,0,0,0,0,0,0,0
0,9,4,1,1,0,0,0,0,0,0,1,1
0,10,6,0,0,1,1,0,0,0,0,1,1
0,11,6,0,0,1,1,0,0,0,0,1,1
0,12,4,1,1,0,0,0,0,0,0,0,0
0,13,2,0,0,1,1,0,0,0,0,0,0
0,14,2,1,1,0,0,0,0,0,0,0,0
0,15,4,1,1,0,0,0,0,0,0,1,1
0,16,2,0,0,0,0,0,0,0,0,0,0
0,17,2,1,1,0,0,0,0,0,0,0,0
0,18,2,0,0,1,1,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0
0,20,10,1,1,1,1,1,1,1,1,1,1
0,21,6,1,1,0,0,0,0,0,0,1,1
0,22,12,1,1,1,1,1,1,1,1,1,1
0,23,6,0,0,1,1,0,0,0,0,1,1
0,24,4,0,0,0,0,0,0,0,0,1,1
0,25,6,0,0,1,1,0,0,0,0,1,1
0,26,2,0,0,0,0,0,0,0,0,0,0
0,27,2,1,1,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,0,0,0,0
0,32,2,0,0,0,0,0,0,0,0,1,1
0,33,4,0,0,1,1,0,0,0,0,0,0
0,34,4,0,0,1,1,0,0,0,0,1,1
0,35,4,0,0,1,1,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,0,0,0,0
0,37,2,0,0,0,0,0,0,0,0,1,1
0,38,6,1,1,0,0,0,0,0,0,1,1
0,39,10,1,1,1,1,1,1,1,1,0,0
0,40,2,1,1,0,0,0,0,0,0,0,0
0,41,4,0,0,1,1,0,0,0,0,1,1
0,42,6,0,0,1,1,0,0,0,0,1,1
0,43,4,1,1,0,0,0,0,0,0,0,0
0,44,8,1,1,1,1,1,1,1,1,0,0
0,45,0,0,0,0,0,0,0,0,0,0,0
0,46,2,1,1,0,0,0,0,0,0,0,0
0,47,4,1,1,0,0,0,0,0,0,1,1
0,48,4,0,0,0,0,0,0,0,0,1,1
0,49,6,0,0,1,1,0,0,0,0,1,1
0,50,4,1,1,0,0,0,0,0,0,0,0
0,51,4,0,0,1,1,0,0,0,0,1,1
0,52,6,0,0,1,1,0,0,0,0,1,1
0,53,6,0,0,1,1,0,0,0,0,1,1
0,54,2,0,0,0,0,0,0,0,0,0,0
0,55,0,0,0,0,0,0,0,0,0,0,0
0,56,0,0,0,0,0,0,0,0,0,0,0
0,57,10,1,1,1,1,1,1,1,1,1,1
0,58,6,0,0,1,1,0,0,0,0,1,1
0,59,6,0,0,1,1,0,0,0,0,1,1
0,60,12,1,1,1,1,1,1,1,1,1,1
0,61,12,1,1,1,1,1,1,1,1,1,1
0,62,12,1,1,1,1,1,1,1,1,1,1
0,63,4,1,1,0,0,0,0,0,0,0,0
0,64,2,0,0,1,1,0,0,0,0,0,0
0,65,10,1,1,1,1,1,1,1,1,1,1
0,66,4,0,0,1,1,0,0,0,0,0,0
0,67,0,0,0,0,0,0,0,0,0,0,0
0,68,4,0,0,1,1,0,0,0,0,1,1
0,69,10,1,1,1,1,1,1,1,1,0,0
0,70,4,1,1,0,0,0,0,0,0,1,1
0,71,6,0,0,1,1,0,0,0,0,1,1
0,72,6,0,0,1,1,0,0,0,0,1,1
0,73,6,0,0,1,1,0,0,0,0,1,1
0,74,2,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,0,0,0
0,76,2,0,0,1,1,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,0,0,0,0
0,78,2,0,0,0,0,0,0,0,0,1,1
0,79,2,0,0,0,0,0,0,0,0,0,0
0,80,0,0,0,0,0,0,0,0,0,0,0
0,81,0,0,0,0,0,0,0,0,0,0,0
0,82,2,1,1,0,0,0,0,0,0,0,0
0,83,2,0,0,1,1,0,0,0,0,0,0
0,84,8,1,1,1,1,1,1,1,1,0,0
0,85,10,1,1,1,1,1,1,1,1,1,1
0,86,4,0,0,0,0,0,0,0,0,1,1
0,87,4,0,0,1,1,0,0,0,0,0,0
0,88,8,1,1,1,1,1,1,1,1,0,0
0,89,0,0,0,0,0,0,0,0,0,0,0
0,90,10,1,1,1,1,1,1,1,1,1,1
0,91,4,0,0,1,1,0,0,0,0,0,0
0,92,0,0,0,0,0,0,0,0,0,0,0
